url,type
markrobertgordon.com/,0
http://elitedaily.com/news/world/elon-musk-denies-shaming-employee-childbirth/1031921/,0
grouprecipes.com/62637/heart-healthy-spanish-rice.html,0
music.yahoo.com/aardvark/,0
thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=U1ARTU0002328,0
myspace.com/sharkbitetapes,0
http://b9dm.com/index.php/video/index.php/video/show/cid/56/order/index.php/video/show/cid/56/order/2,0
oaoa.com/articles/15in-50907-randy-line.html,0
utah.gov/governor/news_media/article.html?article=5425,0
commons.wikimedia.org/wiki/United_States_generals,0
amazon.com/Weirdsville-Taryn-Manning/dp/B000OU0826,0
community.webshots.com/user/janezmu/tags/western-europe/photos,0
answers.com/topic/clay-county-missouri,0
gradschoolfinder.com/schools/programdetail.asp?FOSKeywords=McGill+University+-+Graduate+and+Postdoctoral+Studies&SearchType=School&ProgramID=40004,0
giteseeonee.be,1
http://web.tv/liveCategory/56/language/1/index/changeLanguage/newshared/searchAutoComplete,0
nhptv.org/natureworks/yellowcrownednightheron.htm,0
bbc.stats.com/,0
familytreemaker.genealogy.com/users/m/c/g/Martin-D-Mcgregor/WEBSITE-0001/UHP-Index.html,0
serasa-experian.website,1
archive.org/stream/addressesproce1899natiuoft/addressesproce1899natiuoft_djvu.txt,0
facebook.com/group.php?gid=4943850963,0
en.wikipedia.org/wiki/1950_NAIA_Men%27s_Division_I_Basketball_Tournament,0
zimbio.com/photos/Seth+Sinovic/Andy+Najar,0
sports.espn.go.com/nfl/news/story?id=5984058,0
rootsweb.ancestry.com/~nyononda/CEMETERY/HOUGHTAL.HTM,0
kckcmedical.com/,0
billiard-antiques.com/tables/trophytable.html,0
adc.arkansas.gov/,0
en.wikipedia.org/wiki/Michel_Briere,0
ukrainevengland.com/,0
central-pages-security.ga,1
kanaly.com/en/art/?4,0
freepages.genealogy.rootsweb.ancestry.com/~npmelton/SFRepeal1.htm,0
freepages.genealogy.rootsweb.ancestry.com/~vanepsgenealogy/cousins.html,0
en.wikipedia.org/wiki/Selau,0
mp3boo.com/download-mp3/lostprophets-liberation-transmission.htm,0
http://ap.org/Content/AP-In-The-News/2015/AP-to-bolster-coverage-offer-more-affordable-rates,0
uk.linkedin.com/pub/dir/+/Meldrum,0
people.famouswhy.com/cassidy_gifford/,0
resershop.blogspot.com/2008/07/trail-building-at-aj-jolly-park.html,0
babycenter.com/baby-names-janina-2232.htm,0
snowcaptraffic.com/records/ted,0
heenan.ca/en/ourTeam/bio?id=331,0
huffingtonpost.com/2011/11/19/avalanche-beat-stars-jean_n_1102834.html,0
no3m7nblnvhstxevfqrd.maherstcottage.com.au,1
uk.ratemyteachers.com/teacher/D,0
linkedin.com/pub/amelia-campbell/10/b23/46,0
freeclassicaudiobooks.com/audiobooks/Sawyer/mp3/,0
nndb.com/people/092/000095804/,0
amazon.com/Captain-America-Avenger-Alan-Silvestri/dp/B0050PLTJQ,0
