url,type
www.some-guy.com/riddle.html?contents,1
www.catb.org/~esr/riddle-poems.html,1
www.j-walk.com/ss/jokes/riddles.htm,1
www.sureshotsoftware.com/riddles/,1
www.experts-exchange.com/Miscellaneous/Puzzles_Riddles/,1
www.helary.de/logic/pers/aufg/index_aufg.html,1
puzzle.dse.nl/harder/index.html,1
www.scatty.com/jokes/riddles/index.html,1
www.braingle.com/Riddle.html,1
brainden.com/puzzles-riddles.htm,1
en.wikipedia.org/wiki/Sudoku,1
www.pro.or.jp/~fuji/index-eng.html,1
www.menneske.no/sudoku/eng/,1
angusj.com/sudoku/hints.php,1
www.dailysudoku.co.uk/sudoku/rss.xml,1
www.sudokumate.com/sudokumate.asp,1
www.sudoku.li/english/,1
www.the24net.com/sudoku/,1
www.guardian.co.uk/media/2005/may/15/pressandpublishing.usnews,1
www.pi-c-it.de/Sudoku/index.php?lang=en,1
www.afjarvis.staff.shef.ac.uk/sudoku/,1
www.sudokuwiki.org/sudoku.htm,1
www.sudoku9981.com/sudoku-puzzles,1
www.sudopedia.org/wiki/Main_Page,1
www.economist.com/node/3992476,1
news.bbc.co.uk/2/hi/uk_news/magazine/4469719.stm,1
www.playr.co.uk/sudoku/,1
www.setbb.com/phpbb/?mforum=sudoku,1
forum.ringsworld.com/sudoku.html,1
angusj.com/sudoku/,1
sourceforge.net/projects/sudoku-sensei/,1
www.erational.org/software/sudoku/,1
www.dkmsoftware.com/Sudoku/,1
smmj.sourceforge.net/sudoku/,1
www.clickgamer.com/moreinfo.htm?pid=3117&amp;section=J2ME&amp;set_device=1465,1
www.groethe.org/sudoku/sudoku.html,1
www.verek.com/products/sudoku_companion/index.html,1
www.maa.org/editorial/mathgames/mathgames_09_05_05.html,1
www.mathrec.org/sudoku/,1
www.menneske.no/sudokuto/eng/,1
www.binaryworlds.com/sudoku/,1
www.parolecrociate.net/en/index.asp,1
www.mlsite.net/neknek/play.php,1
www.conceptispuzzles.com/index.aspx?uri=puzzle/calcudoku,1
krazydad.com/killersudoku,1
www.djape.net/killer-sudoku,1
www.sudokuwiki.org/killersudoku.htm,1
www.calcudoku.org/killersudoku,1
thinks.com/crosswords/first1.htm,1
play.yahoo.com/games/login?game=Crossword,1
website.lineone.net/~firle/,1
www.mirroreyes.com/crossword/index.html,1
www.nytimes.com/pages/crosswords/index.html,1
barelybad.com/crossword.htm,1
www.puzzlechoice.com/pc/Crossword_Menx.html,1
members.bellatlantic.net/~chasin/potterxw.html,1
www.upuzzles.com/free/crossword.html,1
puzzles.about.com/cs/crosswords/,1
www.csmonitor.com/2006/0616/p15s01-almo.html,1
www.guardian.co.uk/crosswords,1
my-yorkshire.co.uk/daily-crossword/daily-crossword.html,1
www.avclub.com/crossword/,1
prahlad.org/pub/puzzles/,1
www.upenn.edu/gazette/puzzle.html,1
members.ozemail.com.au/~mcardle/crostic.html,1
www.finishingthehat.com/sondheimcrostics.html,1
www.pomona.edu/Magazine/PCMFL02/AVpuzzler.shtml,1
wso.williams.edu/orgs/trivia/local/supers/crostic.html,1
www.janeland.com/acrostics.html,1
www.rumormillnews.com/cgi-bin/archive.cgi?read=33319,1
mulawa.net/mulawa/puzzles/acrostics.html,1
www.asap.unimelb.edu.au/bsparcs/guides/puzzles/acrostic2.htm,1
www.biddlecombe.demon.co.uk/puzzles.html,1
thinks.com/crosswords/cryptic/cryptic.htm,1
home.freeuk.net/dharrison/puzzles/,1
www.orafusion.com/crossword.htm,1
www.gptucker.net/crosswords/,1
www.bukharin.net/phil/puzzles.html,1
www3.sympatico.ca/tagies/,1
www.ojohaven.com/fun/crossword.html,1
www.ekelundh.com/crossword/,1
raru.adelaide.edu.au/craig/wow.html,1
www.hackcraft.net/code/crossinary/,1
www.amo.qc.ca/cgi-bin/pub/ODico/dico.out,1
www.infoplease.com/ipa/A0001806.html,1
www.allwords.com/solver.php,1
www.chaucery.com/fun/crossword/,1
www.crosskit.com/index.php?dict,1
cfajohnson.com/wordfinder/wordfinder.shtml,1
www.quinapalus.com/cgi-bin/match,1
www.astrolog.org/labyrnth.htm,1
web.kyoto-inet.or.jp/people/eisaku/e_maze/index.html,1
www.thebigzoo.com/games/mazes/,1
homepages.cwi.nl/~tromp/maze.html,1
www.billsgames.com/mazegenerator/,1
www.eblong.com/zarf/essays/maize.html,1
attra.ncat.org/attra-pub/entertainment/do.html#mazes,1
www.agry.purdue.edu/ext/corn/culture/maze.html,1
www20.brinkster.com/abedi/index.htm,1
www.gmhh.bravepages.com/greenmountain001.htm,1
www.ruralroutes.com/cricklewood,1
www.discovertheborders.co.uk/places/101.html,1
www.cairniefruitfarm.co.uk/maze.htm,1
www.silosandsmokestacks.org/chc/maize.htm,1
www.longleat.co.uk/attractions/hedge-maze.html,1
www.johnrausch.com/PuzzleWorld/,1
www.teachnet.com/brainbinders/,1
www.sentex.net/~mwandel/marbles/index.html,1
news.uns.purdue.edu/rube/rube.index.html,1
www.math.rwth-aachen.de/~Martin.Schoenert/Cube-Lovers/,1
www.wunderland.com/WTS/Kristin/History.html,1
www.ideafinder.com/history/inventions/story063.htm,1
www.speedcubing.com/ton/,1
www.schubart.net/rc/,1
jpbrown.i8.com/cubesolver.html,1
www.recordholders.org/en/list/rubik.html,1
guitar.to/gravityboy/rubik/cube.html,1
www.stefan-pochmann.info/spocc/,1
www.randelshofer.ch/rubik/rubik.html,1
www.roobik.com/cgi-bin/rubix/rubix.cgi,1
www.randelshofer.ch/rubik/,1
lar5.com/cube/bt.html,1
lar5.com/cube/solve.html,1
www.superliminal.com/cube/cube.htm,1
www.ryanheise.com/cube/speed.html,1
home.kpn.nl/rubik/,1
www.mts.net/~rhoffman/index.htm,1
www.wunderland.com/WTS/Jake/5x5x5.html,1
jeays.net/rubiks.htm,1
www.nerdparadise.com/puzzles/333/,1
www.ws.binghamton.edu/fridrich/cube.html,1
lar5.com/cube/,1
grrroux.free.fr/method/Intro.html,1
www.zborowski.republika.pl/expert3x3x3method.html,1
www.ai.sri.com/~cheyer/rubiks/rubiks.html,1
www.alchemistmatt.com/cube/rubik.html,1
williambader.com/museum/cubes/cubes.html,1
www.ryanheise.com/cube/,1
www.speedcubing.com/DavidJSalvia.html,1
www.speedcubing.com/chris/3-solution.html,1
www.jaapsch.net/puzzles/,1
www.puzzles.force9.co.uk/index.htm,1
www.angelfire.com/space/adelaar/puzzles/,1
www.flowerfire.com/burrmaking/,1
researchweb.watson.ibm.com/BurrPuzzles/,1
www.ddewey.net/puzzle/,1
k.webring.com/hub?ring=puzzlering&amp;id=3&amp;hub,1
easyweb.easynet.co.uk/~tasha27/wrPuzzle_dyn.html,1
www.thepotters.com/puzzles.html,1
www.religioustolerance.org/wrd_srch.htm,1
www.twopaths.com/wordsearch.htm,1
www.funs.co.uk/wordsearch/index.htm,1
www.mirroreyes.com/wordsearch/index.html,1
www.lholmes.fsnet.co.uk/wordsearchchoice.htm,1
www.abctooncenter.com/wordsch.htm,1
www.thebigzoo.com/games/word_searches/,1
www.clickets.com/targets/Games/word_search/word_search.asp,1
www.puzzlechoice.com/pc/Wordsearch_Mex.html,1
www.allstarpuzzles.com/wordsearch/index.html,1
1stchoiceproducts.com/learningwithpuzzles.html,1
www.puzzles.ca/wordsearch.html,1
www.edhelper.com/wordfind.htm,1
www.manythings.org/ws/,1
www.kitfox.com/puzzlecorner/,1
www.learningplanet.com/act/ws/h_wslist.asp,1
www.eduplace.com/kids/wwf/,1
