url,domain,tld,ip,url_len,https,label
youtube.com/watch?v=FX1u06e1JIU,youtube,com,142.250.192.46,31,FALSE,0
facebook.com/pages/Shaan/113386368675148,facebook,com,163.70.144.35,40,FALSE,0
legacy.com/obituaries/thestate/obituary-preview.aspx?n=clarence-chester-brown&pid=146360334&referrer=2338,legacy,com,64.68.200.48,105,FALSE,0
clarewenhamcounselling.com,clarewenhamcounselling,com,217.160.0.133,26,FALSE,1
answers.yahoo.com/question/index?qid=1006021307608,yahoo,com,74.6.231.20,50,FALSE,0
genforum.genealogy.com/lecompte/,genealogy,com,104.18.1.50,32,FALSE,0
bollywoodhungama.com/broadband/video/Interviews/iVCPJh42/3/Vishal-Shekhar-Speak-About-The-Dirty-Picture.html,bollywoodhungama,com,35.200.201.113,108,FALSE,0
allposters.com/-st/Charles-Nicolas-Raphael-Lafond-Posters_c113679_.htm,allposters,com,104.18.35.231,70,FALSE,0
myspace.com/wes_scantlin,myspace,com,34.111.176.156,24,FALSE,0
filthyliar.com/dev/viewPhoto.php?fileID=50800042,filthyliar,com,190.97.162.231,48,FALSE,0
facebook.com/impactmontreal,facebook,com,163.70.144.35,27,FALSE,0
en.wikipedia.org/wiki/Charles_de_Gaulle_(R_91),wikipedia,org,103.102.166.224,46,FALSE,0
freepages.military.rootsweb.ancestry.com/~cacunithistories/hr_mallory.htm,ancestry,com,104.18.0.50,73,FALSE,0
ballotpedia.org/wiki/index.php/Matt_Gabler,ballotpedia,org,34.231.99.191,42,FALSE,0
hotmasil.com.hypestat.com/,hypestat,com,108.178.0.236,26,FALSE,0
http://seekingalpha.com/article/3179426-why-valero-energy-stock-is-a-great-buy-right-now,seekingalpha,com,151.101.129.91,88,FALSE,0
uncyclopedia.wikia.com/wiki/People%27s_Republic_of_China,wikia,com,151.101.128.194,56,FALSE,0
forum.italianlanguage.it/,italianlanguage,it,89.46.105.26,25,FALSE,0
virginiasports.com/ViewArticle.dbml?DB_OEM_ID=17800&ATCLID=205133128,virginiasports,com,35.190.56.35,68,FALSE,0
spoke.com/info/pCuB354/Jean-FrancoisGuillot,spoke,com,3.33.251.168,43,FALSE,0
myspace.com/brianyandellmusic,myspace,com,34.111.176.156,29,FALSE,0
itv.com/,itv,com,99.83.221.243,8,FALSE,0
india.philips.com/,philips,com,3.251.19.161,18,FALSE,0
itunes.apple.com/us/album/the-beginning-deluxe-version/id403881301,apple,com,17.253.144.10,66,FALSE,0
trainvideos.org/,trainvideos,org,209.59.176.66,16,FALSE,0
publicrecords.com/people-search-records/dawn-orlando,publicrecords,com,172.67.73.117,52,FALSE,0
en.wikipedia.org/wiki/Najahe_Sherman,wikipedia,org,103.102.166.224,36,FALSE,0
leecamp.net/,leecamp,net,168.235.80.249,12,FALSE,0
